/Users/jixinyuan/opt/anaconda3/envs/pytorch/bin/python /Applications/PyCharm.app/Contents/plugins/python/helpers/pydev/pydevd.py --multiprocess --qt-support=auto --client 127.0.0.1 --port 49858 --file /Users/jixinyuan/我的研究/代码/FedNoisyLabelLearning/main.py -algo FedTwin
已连接到 pydev 调试器(内部版本号 223.8617.48)('algorithm', 'FedTwin')
('gpu', 0)
('seed', 13)
('save_dir', './record/')
('rounds2', 300)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.7)
('dataset', 'mnist')
('iid', False)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.1)
('lamda', 15)
('K', 5)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
('device', device(type='cpu'))
Rounds 56 filter noisy data:
Round 56 train loss  -30.4137
Round 56 global test acc  93.1500
Rounds 57 filter noisy data:
Round 57 train loss  -31.0846
Round 57 global test acc  93.8700
Rounds 58 filter noisy data:
Round 58 train loss  -29.8104
Round 58 global test acc  93.1900
Rounds 59 filter noisy data:
Round 59 train loss  -29.6566
Round 59 global test acc  89.7500
Rounds 60 filter noisy data:
Round 60 train loss  -29.9906
Round 60 global test acc  91.8600
Rounds 61 filter noisy data:
Round 61 train loss  -29.5809
Round 61 global test acc  93.3300
Rounds 62 filter noisy data:
Round 62 train loss  -30.2125
Round 62 global test acc  93.3200
Rounds 63 filter noisy data:
Round 63 train loss  -30.1052
Round 63 global test acc  92.6100
Rounds 64 filter noisy data:
Round 64 train loss  -30.9450
Round 64 global test acc  94.3500
Rounds 65 filter noisy data:
Round 65 train loss  -29.9576
Round 65 global test acc  92.2100
Rounds 66 filter noisy data:
Round 66 train loss  -30.8796
Round 66 global test acc  94.0700
Rounds 67 filter noisy data:
Round 67 train loss  -31.4987
Round 67 global test acc  93.5900
Rounds 68 filter noisy data:
Round 68 train loss  -31.0481
Round 68 global test acc  94.4500
Rounds 69 filter noisy data:
Round 69 train loss  -31.5369
Round 69 global test acc  95.0400
Rounds 70 filter noisy data:
Round 70 train loss  -31.7525
Round 70 global test acc  94.7700
Rounds 71 filter noisy data:
Round 71 train loss  -31.3678
Round 71 global test acc  94.5200
Rounds 72 filter noisy data:
Round 72 train loss  -30.6141
Round 72 global test acc  93.2400
Rounds 73 filter noisy data:
Round 73 train loss  -31.2611
Round 73 global test acc  93.7700
Rounds 74 filter noisy data:
Round 74 train loss  -31.7384
Round 74 global test acc  94.6500
Rounds 75 filter noisy data:
Round 75 train loss  -31.6752
Round 75 global test acc  94.9500
Rounds 76 filter noisy data:
Round 76 train loss  -30.3011
Round 76 global test acc  94.7900
Rounds 77 filter noisy data:
Round 77 train loss  -31.3977
Round 77 global test acc  93.0800
Rounds 78 filter noisy data:
Round 78 train loss  -30.1324
Round 78 global test acc  93.6800
Rounds 79 filter noisy data:
Round 79 train loss  -30.9535
Round 79 global test acc  94.0700
Rounds 80 filter noisy data:
Round 80 train loss  -31.4076
Round 80 global test acc  94.7200
Rounds 81 filter noisy data:
Round 81 train loss  -31.0262
Round 81 global test acc  94.7600
Rounds 82 filter noisy data:
Round 82 train loss  -30.5828
Round 82 global test acc  94.3500
Rounds 83 filter noisy data:
Round 83 train loss  -29.7533
Round 83 global test acc  93.3700
Rounds 84 filter noisy data:
Round 84 train loss  -31.6318
Round 84 global test acc  94.4300
Rounds 85 filter noisy data:
Round 85 train loss  -28.6532
Round 85 global test acc  90.3400
Rounds 86 filter noisy data:
Round 86 train loss  -30.8370
Round 86 global test acc  93.1900
Rounds 87 filter noisy data:
Round 87 train loss  -31.3837
Round 87 global test acc  95.0400
Rounds 88 filter noisy data:
Round 88 train loss  -31.5716
Round 88 global test acc  94.8600
Rounds 89 filter noisy data:
Round 89 train loss  -30.7674
Round 89 global test acc  93.4200
Rounds 90 filter noisy data:
Round 90 train loss  -30.3196
Round 90 global test acc  93.9200
Rounds 91 filter noisy data:
Round 91 train loss  -30.6082
Round 91 global test acc  93.7500
Rounds 92 filter noisy data:
Round 92 train loss  -32.0946
Round 92 global test acc  94.8200
Rounds 93 filter noisy data:
Round 93 train loss  -30.0214
Round 93 global test acc  91.7000
Rounds 94 filter noisy data:
Round 94 train loss  -30.6908
Round 94 global test acc  93.0200
Rounds 95 filter noisy data:
Round 95 train loss  -29.3827
Round 95 global test acc  92.4900
Rounds 96 filter noisy data:
Round 96 train loss  -30.7445
Round 96 global test acc  92.8600
Rounds 97 filter noisy data:
Round 97 train loss  -30.8299
Round 97 global test acc  93.9500
Rounds 98 filter noisy data:
Round 98 train loss  -31.4945
Round 98 global test acc  94.5100
Rounds 99 filter noisy data:
Round 99 train loss  -29.8593
Round 99 global test acc  94.5100
Rounds 100 filter noisy data:
Round 100 train loss  -30.5001
Round 100 global test acc  93.9900
