('algorithm', 'MR')
('gpu', 0)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.5)
('dataset', 'mnist')
('iid', False)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.1)
('lamda', 15)
('K', 1)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
Client 52, noise level: 0.7907 (0.7116), real noise ratio: 0.6982
Client 53, noise level: 0.5899 (0.5309), real noise ratio: 0.5383
Client 54, noise level: 0.7533 (0.6780), real noise ratio: 0.6647
Client 55, noise level: 0.6408 (0.5767), real noise ratio: 0.5914
Client 56, noise level: 0.6850 (0.6165), real noise ratio: 0.6128
Client 57, noise level: 0.7523 (0.6770), real noise ratio: 0.6788
Client 58, noise level: 0.5612 (0.5050), real noise ratio: 0.5090
Client 59, noise level: 0.5653 (0.5088), real noise ratio: 0.5143
Client 60, noise level: 0.9222 (0.8300), real noise ratio: 0.8303
Client 61, noise level: 0.6961 (0.6265), real noise ratio: 0.5788
Client 62, noise level: 0.5848 (0.5263), real noise ratio: 0.5393
Client 63, noise level: 0.9006 (0.8105), real noise ratio: 0.8152
Client 64, noise level: 0.9551 (0.8596), real noise ratio: 0.8643
Client 65, noise level: 0.9148 (0.8233), real noise ratio: 0.7910
Client 66, noise level: 0.8570 (0.7713), real noise ratio: 0.7711
Client 67, noise level: 0.5497 (0.4947), real noise ratio: 0.5133
Client 68, noise level: 0.9567 (0.8610), real noise ratio: 0.8725
Client 69, noise level: 0.7890 (0.7101), real noise ratio: 0.6945
Client 70, noise level: 0.9501 (0.8551), real noise ratio: 0.8377
Client 71, noise level: 0.7818 (0.7036), real noise ratio: 0.7269
Client 72, noise level: 0.5049 (0.4544), real noise ratio: 0.3970
Client 73, noise level: 0.9971 (0.8974), real noise ratio: 0.9096
Client 74, noise level: 0.5662 (0.5096), real noise ratio: 0.4774
Client 75, noise level: 0.8463 (0.7617), real noise ratio: 0.7603
Client 76, noise level: 0.6671 (0.6004), real noise ratio: 0.6070
Client 77, noise level: 0.5901 (0.5311), real noise ratio: 0.5275
Client 78, noise level: 0.5703 (0.5133), real noise ratio: 0.5147
Client 79, noise level: 0.8346 (0.7512), real noise ratio: 0.7530
Client 80, noise level: 0.6519 (0.5867), real noise ratio: 0.5842
Client 81, noise level: 0.8068 (0.7261), real noise ratio: 0.7063
Client 82, noise level: 0.9678 (0.8710), real noise ratio: 0.8762
Client 83, noise level: 0.6015 (0.5413), real noise ratio: 0.5435
Client 84, noise level: 0.5598 (0.5038), real noise ratio: 0.4909
Client 85, noise level: 0.6961 (0.6265), real noise ratio: 0.6536
Client 86, noise level: 0.8473 (0.7625), real noise ratio: 0.7692
Client 87, noise level: 0.9725 (0.8752), real noise ratio: 0.8980
Client 88, noise level: 0.5817 (0.5235), real noise ratio: 0.4940
Client 89, noise level: 0.7294 (0.6564), real noise ratio: 0.6520
Client 90, noise level: 0.6394 (0.5755), real noise ratio: 0.5725
Client 91, noise level: 0.6023 (0.5421), real noise ratio: 0.5033
Client 92, noise level: 0.6542 (0.5888), real noise ratio: 0.5760
Client 93, noise level: 0.8978 (0.8080), real noise ratio: 0.8188
Client 94, noise level: 0.5464 (0.4918), real noise ratio: 0.4917
Client 95, noise level: 0.9345 (0.8411), real noise ratio: 0.8208
Client 96, noise level: 0.9169 (0.8252), real noise ratio: 0.8110
Client 97, noise level: 0.8409 (0.7568), real noise ratio: 0.7978
Client 98, noise level: 0.6479 (0.5831), real noise ratio: 0.6074
Client 99, noise level: 0.5831 (0.5248), real noise ratio: 0.4852
Round 0 global test acc  11.0206
Round 1 global test acc  33.5258
Round 2 global test acc  58.7010
Round 3 global test acc  69.8557
Round 4 global test acc  60.6598
Round 5 global test acc  82.8969
Round 6 global test acc  78.9278
Round 7 global test acc  86.7216
Round 8 global test acc  85.7835
Round 9 global test acc  84.9485
Round 10 global test acc  80.6392
Round 11 global test acc  84.3505
Round 12 global test acc  85.0928
Round 13 global test acc  80.1340
Round 14 global test acc  88.1753
Round 15 global test acc  83.9072
Round 16 global test acc  88.2268
Round 17 global test acc  88.2680
Round 18 global test acc  90.4742
Round 19 global test acc  90.6289
Round 20 global test acc  89.9381
Round 21 global test acc  85.1856
Round 22 global test acc  85.4742
Round 23 global test acc  88.0825
Round 24 global test acc  84.6082
Round 25 global test acc  88.9072
Round 26 global test acc  89.0000
Round 27 global test acc  85.8763
Round 28 global test acc  89.9794
Round 29 global test acc  91.8763
Round 30 global test acc  91.8866
Round 31 global test acc  90.4742
Round 32 global test acc  86.6289
Round 33 global test acc  87.7732
Round 34 global test acc  88.8557
Round 35 global test acc  88.8866
Round 36 global test acc  87.5258
Round 37 global test acc  89.1031
Round 38 global test acc  88.6082
Round 39 global test acc  89.8557
Round 40 global test acc  83.0619
Round 41 global test acc  88.8351
Round 42 global test acc  88.1649
Round 43 global test acc  88.7423
Round 44 global test acc  88.7216
Round 45 global test acc  77.5361
Round 46 global test acc  86.9381
Round 47 global test acc  87.7938
Round 48 global test acc  87.3918
Round 49 global test acc  87.6289
Round 50 global test acc  88.6392
Round 51 global test acc  88.2268
Round 52 global test acc  88.4639
Round 53 global test acc  88.4330
Round 54 global test acc  88.0309
Round 55 global test acc  89.6701
Round 56 global test acc  88.6907
Round 57 global test acc  88.8351
Round 58 global test acc  88.8144
Round 59 global test acc  88.0000
Round 60 global test acc  88.3814
Round 61 global test acc  87.7216
Round 62 global test acc  87.3814
Round 63 global test acc  88.2165
Round 64 global test acc  87.3711
Round 65 global test acc  88.1443
Round 66 global test acc  88.5258
Round 67 global test acc  88.5155
Round 68 global test acc  87.0722
Round 69 global test acc  87.2474
Round 70 global test acc  87.8247
Round 71 global test acc  88.8144
Round 72 global test acc  89.2062
Round 73 global test acc  87.5670
Round 74 global test acc  89.5773
Round 75 global test acc  87.4433
Round 76 global test acc  88.4124
Round 77 global test acc  88.0722
Round 78 global test acc  86.6701
Round 79 global test acc  88.3093
Round 80 global test acc  88.9381
Round 81 global test acc  88.9175
Round 82 global test acc  87.1443
Round 83 global test acc  86.4433
Round 84 global test acc  87.3608
Round 85 global test acc  85.5361
Round 86 global test acc  88.8557
Round 87 global test acc  88.5773
Round 88 global test acc  87.9381
Round 89 global test acc  83.8660
Round 90 global test acc  86.3918
Round 91 global test acc  87.5567
Round 92 global test acc  88.5773
Round 93 global test acc  88.6907
Round 94 global test acc  88.3814
Round 95 global test acc  89.4433
Round 96 global test acc  88.2577
Round 97 global test acc  88.3299
Round 98 global test acc  88.6907
Round 99 global test acc  89.3093
Round 100 global test acc  89.1856
Round 101 global test acc  88.3299
Round 102 global test acc  88.0928
Round 103 global test acc  89.8969
Round 104 global test acc  87.9381
Round 105 global test acc  87.7938
Round 106 global test acc  88.6804
Round 107 global test acc  89.0103
Round 108 global test acc  88.8660
Round 109 global test acc  87.8351
Round 110 global test acc  87.6804
Round 111 global test acc  88.4433
Round 112 global test acc  89.5670
Round 113 global test acc  89.7113
Round 114 global test acc  88.9691
Round 115 global test acc  87.8247
Round 116 global test acc  86.7526
Round 117 global test acc  87.3196
Round 118 global test acc  83.2577
Round 119 global test acc  89.4433
Round 120 global test acc  89.1443
Round 121 global test acc  89.9072
Round 122 global test acc  88.5670
Round 123 global test acc  87.6082
Round 124 global test acc  87.6907
Round 125 global test acc  87.9381
Round 126 global test acc  87.6598
Round 127 global test acc  88.1340
Round 128 global test acc  88.7010
Round 129 global test acc  88.2887
Round 130 global test acc  88.4948
Round 131 global test acc  88.8351
Round 132 global test acc  85.9278
Round 133 global test acc  87.9381
Round 134 global test acc  89.8247
Round 135 global test acc  89.0928
Round 136 global test acc  83.9691
Round 137 global test acc  88.1856
Round 138 global test acc  88.8557
Round 139 global test acc  89.2680
Round 140 global test acc  87.8557
Round 141 global test acc  88.1753
Round 142 global test acc  88.2887
Round 143 global test acc  87.7320
Round 144 global test acc  87.1443
Round 145 global test acc  88.4639
Round 146 global test acc  86.9072
Round 147 global test acc  88.1649
Round 148 global test acc  85.1546
Round 149 global test acc  85.3711
Round 150 global test acc  88.2577
Round 151 global test acc  89.0000
Round 152 global test acc  88.0515
Round 153 global test acc  88.0928
Round 154 global test acc  81.6186
Round 155 global test acc  87.2371
Round 156 global test acc  88.7938
Round 157 global test acc  87.5773
Round 158 global test acc  87.5979
Round 159 global test acc  89.4021
Round 160 global test acc  87.3918
Round 161 global test acc  87.0825
Round 162 global test acc  86.3711
Round 163 global test acc  88.2990
Round 164 global test acc  87.3299
Round 165 global test acc  87.4433
Round 166 global test acc  87.2371
Round 167 global test acc  87.1031
Round 168 global test acc  86.6289
Round 169 global test acc  85.8763
Round 170 global test acc  87.6701
Round 171 global test acc  88.4948
Round 172 global test acc  87.1340
Round 173 global test acc  83.3814
Round 174 global test acc  85.4021
Round 175 global test acc  88.5258
Round 176 global test acc  87.7320
Round 177 global test acc  87.0515
Round 178 global test acc  86.4742
Round 179 global test acc  87.6186
Round 180 global test acc  87.0103
Round 181 global test acc  86.6804
Round 182 global test acc  86.1134
Round 183 global test acc  86.9485
Round 184 global test acc  86.7835
Round 185 global test acc  87.0206
Round 186 global test acc  87.8866
Round 187 global test acc  86.6186
Round 188 global test acc  86.0825
Round 189 global test acc  87.1340
Round 190 global test acc  86.7835
Round 191 global test acc  87.1134
Round 192 global test acc  86.7113
Round 193 global test acc  87.8763
Round 194 global test acc  88.1237
Round 195 global test acc  87.9175
Round 196 global test acc  54.7835
Round 197 global test acc  85.8454
Round 198 global test acc  86.1649
Round 199 global test acc  87.2062
time : 688.6959612369537
('algorithm', 'MR')
('gpu', 0)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.5)
('dataset', 'mnist')
('iid', False)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.1)
('lamda', 15)
('K', 1)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
('device', device(type='cuda', index=0))
Client 0, noise level: 0.8484 (0.7635), real noise ratio: 0.7716
Client 1, noise level: 0.9815 (0.8834), real noise ratio: 0.8502
Client 2, noise level: 0.6389 (0.5750), real noise ratio: 0.5519
Client 3, noise level: 0.6168 (0.5551), real noise ratio: 0.5558
Client 4, noise level: 0.9228 (0.8306), real noise ratio: 0.8176
Client 5, noise level: 0.6121 (0.5509), real noise ratio: 0.5371
Client 6, noise level: 0.8445 (0.7600), real noise ratio: 0.7531
Client 7, noise level: 0.5767 (0.5191), real noise ratio: 0.5392
Client 8, noise level: 0.6018 (0.5416), real noise ratio: 0.5165
Client 9, noise level: 0.5338 (0.4804), real noise ratio: 0.4468
Client 10, noise level: 0.8747 (0.7873), real noise ratio: 0.8093
Client 11, noise level: 0.5900 (0.5310), real noise ratio: 0.4725
Client 12, noise level: 0.5621 (0.5059), real noise ratio: 0.4827
Client 13, noise level: 0.6124 (0.5512), real noise ratio: 0.5413
Client 14, noise level: 0.6397 (0.5758), real noise ratio: 0.5663
Client 15, noise level: 0.5169 (0.4652), real noise ratio: 0.4552
Client 16, noise level: 0.6272 (0.5645), real noise ratio: 0.5666
Client 17, noise level: 0.8344 (0.7510), real noise ratio: 0.7420
Client 18, noise level: 0.8800 (0.7920), real noise ratio: 0.8003
Client 19, noise level: 0.6130 (0.5517), real noise ratio: 0.5967
Client 20, noise level: 0.8059 (0.7253), real noise ratio: 0.7104
Client 21, noise level: 0.9561 (0.8605), real noise ratio: 0.8819
Client 22, noise level: 0.7708 (0.6937), real noise ratio: 0.6937
Client 23, noise level: 0.6870 (0.6183), real noise ratio: 0.6427
Client 24, noise level: 0.5066 (0.4559), real noise ratio: 0.4672
Client 25, noise level: 0.9147 (0.8232), real noise ratio: 0.8523
Client 26, noise level: 0.9083 (0.8175), real noise ratio: 0.8120
Client 27, noise level: 0.5399 (0.4859), real noise ratio: 0.4725
Client 28, noise level: 0.5858 (0.5273), real noise ratio: 0.4699
Client 29, noise level: 0.9191 (0.8272), real noise ratio: 0.8000
Client 30, noise level: 0.7821 (0.7039), real noise ratio: 0.6751
Client 31, noise level: 0.6749 (0.6074), real noise ratio: 0.5957
Client 32, noise level: 0.5725 (0.5153), real noise ratio: 0.5000
Client 33, noise level: 0.5493 (0.4943), real noise ratio: 0.5152
Client 34, noise level: 0.7801 (0.7021), real noise ratio: 0.6939
Client 35, noise level: 0.8550 (0.7695), real noise ratio: 0.7664
Client 36, noise level: 0.9754 (0.8779), real noise ratio: 0.8682
Client 37, noise level: 0.8740 (0.7866), real noise ratio: 0.7813
Client 38, noise level: 0.6861 (0.6175), real noise ratio: 0.6327
Client 39, noise level: 0.8792 (0.7913), real noise ratio: 0.7738
Client 40, noise level: 0.5355 (0.4820), real noise ratio: 0.4871
Client 41, noise level: 0.8109 (0.7298), real noise ratio: 0.7529
Client 42, noise level: 0.8604 (0.7743), real noise ratio: 0.8056
Client 43, noise level: 0.5209 (0.4688), real noise ratio: 0.4928
Client 44, noise level: 0.6976 (0.6279), real noise ratio: 0.6660
Client 45, noise level: 0.5807 (0.5226), real noise ratio: 0.5211
Client 46, noise level: 0.6380 (0.5742), real noise ratio: 0.5496
Client 47, noise level: 0.6133 (0.5519), real noise ratio: 0.5604
Client 48, noise level: 0.6523 (0.5871), real noise ratio: 0.6182
Client 49, noise level: 0.5681 (0.5113), real noise ratio: 0.5241
Client 50, noise level: 0.8471 (0.7624), real noise ratio: 0.7963
Client 51, noise level: 0.5264 (0.4738), real noise ratio: 0.4718
Client 52, noise level: 0.7907 (0.7116), real noise ratio: 0.6982
Client 53, noise level: 0.5899 (0.5309), real noise ratio: 0.5383
Client 54, noise level: 0.7533 (0.6780), real noise ratio: 0.6647
Client 55, noise level: 0.6408 (0.5767), real noise ratio: 0.5914
Client 56, noise level: 0.6850 (0.6165), real noise ratio: 0.6128
Client 57, noise level: 0.7523 (0.6770), real noise ratio: 0.6788
Client 58, noise level: 0.5612 (0.5050), real noise ratio: 0.5090
Client 59, noise level: 0.5653 (0.5088), real noise ratio: 0.5143
Client 60, noise level: 0.9222 (0.8300), real noise ratio: 0.8303
Client 61, noise level: 0.6961 (0.6265), real noise ratio: 0.5788
Client 62, noise level: 0.5848 (0.5263), real noise ratio: 0.5393
Client 63, noise level: 0.9006 (0.8105), real noise ratio: 0.8152
Client 64, noise level: 0.9551 (0.8596), real noise ratio: 0.8643
Client 65, noise level: 0.9148 (0.8233), real noise ratio: 0.7910
Client 66, noise level: 0.8570 (0.7713), real noise ratio: 0.7711
Client 67, noise level: 0.5497 (0.4947), real noise ratio: 0.5133
Client 68, noise level: 0.9567 (0.8610), real noise ratio: 0.8725
Client 69, noise level: 0.7890 (0.7101), real noise ratio: 0.6945
Client 70, noise level: 0.9501 (0.8551), real noise ratio: 0.8377
Client 71, noise level: 0.7818 (0.7036), real noise ratio: 0.7269
Client 72, noise level: 0.5049 (0.4544), real noise ratio: 0.3970
Client 73, noise level: 0.9971 (0.8974), real noise ratio: 0.9096
Client 74, noise level: 0.5662 (0.5096), real noise ratio: 0.4774
Client 75, noise level: 0.8463 (0.7617), real noise ratio: 0.7603
Client 76, noise level: 0.6671 (0.6004), real noise ratio: 0.6070
Client 77, noise level: 0.5901 (0.5311), real noise ratio: 0.5275
Client 78, noise level: 0.5703 (0.5133), real noise ratio: 0.5147
Client 79, noise level: 0.8346 (0.7512), real noise ratio: 0.7530
Client 80, noise level: 0.6519 (0.5867), real noise ratio: 0.5842
Client 81, noise level: 0.8068 (0.7261), real noise ratio: 0.7063
Client 82, noise level: 0.9678 (0.8710), real noise ratio: 0.8762
Client 83, noise level: 0.6015 (0.5413), real noise ratio: 0.5435
Client 84, noise level: 0.5598 (0.5038), real noise ratio: 0.4909
Client 85, noise level: 0.6961 (0.6265), real noise ratio: 0.6536
Client 86, noise level: 0.8473 (0.7625), real noise ratio: 0.7692
Client 87, noise level: 0.9725 (0.8752), real noise ratio: 0.8980
Client 88, noise level: 0.5817 (0.5235), real noise ratio: 0.4940
Client 89, noise level: 0.7294 (0.6564), real noise ratio: 0.6520
Client 90, noise level: 0.6394 (0.5755), real noise ratio: 0.5725
Client 91, noise level: 0.6023 (0.5421), real noise ratio: 0.5033
Client 92, noise level: 0.6542 (0.5888), real noise ratio: 0.5760
Client 93, noise level: 0.8978 (0.8080), real noise ratio: 0.8188
Client 94, noise level: 0.5464 (0.4918), real noise ratio: 0.4917
Client 95, noise level: 0.9345 (0.8411), real noise ratio: 0.8208
Client 96, noise level: 0.9169 (0.8252), real noise ratio: 0.8110
Client 97, noise level: 0.8409 (0.7568), real noise ratio: 0.7978
Client 98, noise level: 0.6479 (0.5831), real noise ratio: 0.6074
Client 99, noise level: 0.5831 (0.5248), real noise ratio: 0.4852
Round 0 global test acc  20.6701
Round 1 global test acc  38.7526
Round 2 global test acc  54.8660
Round 3 global test acc  65.1856
Round 4 global test acc  71.5773
Round 5 global test acc  80.9794
Round 6 global test acc  79.6392
Round 7 global test acc  80.8969
Round 8 global test acc  84.4124
Round 9 global test acc  78.5773
Round 10 global test acc  81.7629
Round 11 global test acc  86.3711
Round 12 global test acc  85.0412
Round 13 global test acc  86.4021
Round 14 global test acc  88.2474
Round 15 global test acc  85.1856
Round 16 global test acc  88.3505
Round 17 global test acc  77.2680
Round 18 global test acc  85.9381
Round 19 global test acc  88.3402
Round 20 global test acc  87.1134
Round 21 global test acc  88.0309
Round 22 global test acc  90.5979
Round 23 global test acc  88.1753
Round 24 global test acc  89.1649
Round 25 global test acc  87.0722
Round 26 global test acc  80.9794
Round 27 global test acc  87.1856
Round 28 global test acc  86.0515
Round 29 global test acc  90.5155
Round 30 global test acc  90.9381
Round 31 global test acc  90.5258
Round 32 global test acc  87.2887
Round 33 global test acc  81.8351
Round 34 global test acc  84.7216
Round 35 global test acc  85.3299
Round 36 global test acc  86.3196
Round 37 global test acc  86.6392
Round 38 global test acc  87.4021
Round 39 global test acc  86.9794
Round 40 global test acc  86.7629
Round 41 global test acc  90.9691
Round 42 global test acc  86.4845
Round 43 global test acc  88.1237
Round 44 global test acc  87.1959
Round 45 global test acc  86.8557
Round 46 global test acc  88.8351
Round 47 global test acc  85.9588
Round 48 global test acc  85.3711
Round 49 global test acc  86.6186
Round 50 global test acc  86.1753
Round 51 global test acc  87.3814
Round 52 global test acc  85.3299
Round 53 global test acc  86.5052
Round 54 global test acc  87.1237
Round 55 global test acc  89.9794
Round 56 global test acc  88.7216
Round 57 global test acc  88.6289
Round 58 global test acc  88.5258
Round 59 global test acc  88.8969
Round 60 global test acc  88.2680
Round 61 global test acc  87.2784
Round 62 global test acc  89.3093
Round 63 global test acc  88.3814
Round 64 global test acc  85.5979
Round 65 global test acc  86.9897
Round 66 global test acc  86.4021
Round 67 global test acc  85.1753
Round 68 global test acc  87.0619
Round 69 global test acc  86.6392
Round 70 global test acc  87.1649
Round 71 global test acc  87.4742
Round 72 global test acc  87.2990
Round 73 global test acc  86.5155
Round 74 global test acc  88.1134
Round 75 global test acc  87.2990
Round 76 global test acc  86.7938
Round 77 global test acc  87.7216
Round 78 global test acc  83.8969
Round 79 global test acc  86.4639
Round 80 global test acc  89.1649
Round 81 global test acc  90.9278
Round 82 global test acc  89.1340
Round 83 global test acc  87.7423
Round 84 global test acc  89.1856
Round 85 global test acc  87.8144
Round 86 global test acc  89.4845
Round 87 global test acc  88.3505
Round 88 global test acc  86.9691
Round 89 global test acc  63.4845
Round 90 global test acc  85.7526
Round 91 global test acc  88.4536
Round 92 global test acc  87.6598
Round 93 global test acc  86.4742
Round 94 global test acc  88.0103
Round 95 global test acc  89.4948
Round 96 global test acc  87.3093
Round 97 global test acc  88.1237
Round 98 global test acc  89.3402
Round 99 global test acc  87.5567
Round 100 global test acc  87.1753
Round 101 global test acc  89.4948
Round 102 global test acc  88.6495
Round 103 global test acc  89.3402
Round 104 global test acc  90.5979
Round 105 global test acc  86.8454
Round 106 global test acc  89.2990
Round 107 global test acc  87.6392
Round 108 global test acc  87.9794
Round 109 global test acc  88.4948
Round 110 global test acc  88.9485
Round 111 global test acc  89.9794
Round 112 global test acc  90.3196
Round 113 global test acc  89.0825
Round 114 global test acc  87.5361
Round 115 global test acc  87.1443
Round 116 global test acc  86.0515
Round 117 global test acc  86.5464
Round 118 global test acc  89.0825
Round 119 global test acc  88.8454
Round 120 global test acc  88.3299
Round 121 global test acc  89.1649
Round 122 global test acc  87.1753
Round 123 global test acc  86.9072
Round 124 global test acc  85.5258
Round 125 global test acc  88.7423
Round 126 global test acc  88.0515
Round 127 global test acc  89.8763
Round 128 global test acc  88.0412
Round 129 global test acc  87.2165
Round 130 global test acc  88.0206
Round 131 global test acc  87.3918
Round 132 global test acc  87.5052
Round 133 global test acc  89.1340
Round 134 global test acc  90.7526
Round 135 global test acc  90.6495
Round 136 global test acc  90.7423
Round 137 global test acc  89.7835
Round 138 global test acc  89.2680
Round 139 global test acc  89.5567
Round 140 global test acc  88.0619
Round 141 global test acc  87.2990
Round 142 global test acc  88.2577
Round 143 global test acc  87.5876
Round 144 global test acc  87.3608
Round 145 global test acc  88.5052
Round 146 global test acc  88.0722
Round 147 global test acc  89.2887
Round 148 global test acc  86.9485
Round 149 global test acc  85.5258
Round 150 global test acc  85.8763
Round 151 global test acc  86.5979
Round 152 global test acc  86.2990
Round 153 global test acc  85.4639
Round 154 global test acc  88.2990
Round 155 global test acc  87.9072
Round 156 global test acc  88.5670
Round 157 global test acc  85.4124
Round 158 global test acc  87.4742
Round 159 global test acc  87.0103
Round 160 global test acc  86.1237
Round 161 global test acc  85.0619
Round 162 global test acc  87.7113
Round 163 global test acc  88.2165
Round 164 global test acc  88.1753
Round 165 global test acc  89.1134
Round 166 global test acc  89.3196
Round 167 global test acc  87.8763
Round 168 global test acc  89.0103
Round 169 global test acc  85.2577
Round 170 global test acc  88.6392
Round 171 global test acc  85.5670
