('algorithm', 'FedCorr')
('gpu', 1)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.5)
('dataset', 'mnist')
('iid', True)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.1)
('lamda', 15)
('K', 1)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
[]
Round 7 global test acc  96.3300
Round 7 Fscore 

[]
Round 8 global test acc  96.0600
Round 8 Fscore 

[]
Round 9 global test acc  96.4500
Round 9 Fscore 

[]
Round 10 global test acc  96.3900
Round 10 Fscore 

[]
Round 11 global test acc  96.4400
Round 11 Fscore 

[]
Round 12 global test acc  96.3500
Round 12 Fscore 

[]
Round 13 global test acc  96.3300
Round 13 Fscore 

[]
Round 14 global test acc  96.3900
Round 14 Fscore 

[]
Round 15 global test acc  96.0200
Round 15 Fscore 

[]
Round 16 global test acc  96.3900
Round 16 Fscore 

[]
Round 17 global test acc  96.4400
Round 17 Fscore 

[]
Round 18 global test acc  96.1500
Round 18 Fscore 

[]
Round 19 global test acc  96.2800
Round 19 Fscore 

[]
Round 20 global test acc  96.3400
Round 20 Fscore 

[]
Round 21 global test acc  96.0300
Round 21 Fscore 

[]
Round 22 global test acc  96.0600
Round 22 Fscore 

[]
Round 23 global test acc  96.3600
Round 23 Fscore 

[]
Round 24 global test acc  96.4100
Round 24 Fscore 

[]
Round 25 global test acc  96.2100
Round 25 Fscore 

[]
Round 26 global test acc  96.2600
Round 26 Fscore 

[]
Round 27 global test acc  96.3100
Round 27 Fscore 

[]
Round 28 global test acc  96.2400
Round 28 Fscore 

[]
Round 29 global test acc  96.4400
Round 29 Fscore 

[]
Round 30 global test acc  96.5000
Round 30 Fscore 

[]
Round 31 global test acc  96.5700
Round 31 Fscore 

[]
Round 32 global test acc  96.5000
Round 32 Fscore 

[]
Round 33 global test acc  96.3100
Round 33 Fscore 

[]
Round 34 global test acc  96.4200
Round 34 Fscore 

[]
Round 35 global test acc  96.4800
Round 35 Fscore 

[]
Round 36 global test acc  96.4300
Round 36 Fscore 

[]
Round 37 global test acc  96.1200
Round 37 Fscore 

[]
Round 38 global test acc  96.0600
Round 38 Fscore 

[]
Round 39 global test acc  96.1800
Round 39 Fscore 

[]
Round 40 global test acc  96.3100
Round 40 Fscore 

[]
Round 41 global test acc  96.5100
Round 41 Fscore 

[]
Round 42 global test acc  96.5500
Round 42 Fscore 

[]
Round 43 global test acc  96.2100
Round 43 Fscore 

[]
Round 44 global test acc  95.9900
Round 44 Fscore 

[]
Round 45 global test acc  96.0900
Round 45 Fscore 

[]
Round 46 global test acc  96.3100
Round 46 Fscore 

[]
Round 47 global test acc  96.2400
Round 47 Fscore 

[]
Round 48 global test acc  96.3200
Round 48 Fscore 

[]
Round 49 global test acc  96.1100
Round 49 Fscore 

[]
Round 50 global test acc  96.2700
Round 50 Fscore 

[]
Round 51 global test acc  96.2200
Round 51 Fscore 

[]
Round 52 global test acc  95.7900
Round 52 Fscore 

[]
Round 53 global test acc  96.1300
Round 53 Fscore 

[]
Round 54 global test acc  96.3700
Round 54 Fscore 

[]
Round 55 global test acc  96.1700
Round 55 Fscore 

[]
Round 56 global test acc  96.4700
Round 56 Fscore 

[]
Round 57 global test acc  96.4700
Round 57 Fscore 

[]
Round 58 global test acc  96.2500
Round 58 Fscore 

[]
Round 59 global test acc  96.1000
Round 59 Fscore 

[]
Round 60 global test acc  95.9600
Round 60 Fscore 

[]
Round 61 global test acc  96.1800
Round 61 Fscore 

[]
Round 62 global test acc  96.4100
Round 62 Fscore 

[]
Round 63 global test acc  96.2700
Round 63 Fscore 

[]
Round 64 global test acc  96.0600
Round 64 Fscore 

[]
Round 65 global test acc  96.1500
Round 65 Fscore 

[]
Round 66 global test acc  95.9800
Round 66 Fscore 

[]
Round 67 global test acc  96.1000
Round 67 Fscore 

[]
Round 68 global test acc  96.3600
Round 68 Fscore 

[]
Round 69 global test acc  96.1600
Round 69 Fscore 

[]
Round 70 global test acc  96.0600
Round 70 Fscore 

[]
Round 71 global test acc  96.1700
