('algorithm', 'FedTwin')
('gpu', 0)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.3)
('dataset', 'mnist')
('iid', False)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.05)
('lamda', 15)
('K', 5)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
Client 26, noise level: 0.9083 (0.8175), real noise ratio: 0.7948
Client 27, noise level: 0.5399 (0.4859), real noise ratio: 0.4991
Client 28, noise level: 0.5858 (0.5273), real noise ratio: 0.5271
Client 29, noise level: 0.9191 (0.8272), real noise ratio: 0.8568
Client 30, noise level: 0.7821 (0.7039), real noise ratio: 0.7528
Client 31, noise level: 0.6749 (0.6074), real noise ratio: 0.6173
Client 32, noise level: 0.5725 (0.5153), real noise ratio: 0.5074
Client 33, noise level: 0.5493 (0.4943), real noise ratio: 0.5449
Client 34, noise level: 0.7801 (0.7021), real noise ratio: 0.6743
Client 35, noise level: 0.8550 (0.7695), real noise ratio: 0.7722
Client 36, noise level: 0.9754 (0.8779), real noise ratio: 0.9137
Client 37, noise level: 0.8740 (0.7866), real noise ratio: 0.8110
Client 38, noise level: 0.6861 (0.6175), real noise ratio: 0.6223
Client 39, noise level: 0.8792 (0.7913), real noise ratio: 0.7892
Client 40, noise level: 0.5355 (0.4820), real noise ratio: 0.4996
Client 41, noise level: 0.8109 (0.7298), real noise ratio: 0.7335
Client 42, noise level: 0.8604 (0.7743), real noise ratio: 0.7683
Client 43, noise level: 0.5209 (0.4688), real noise ratio: 0.4669
Client 44, noise level: 0.6976 (0.6279), real noise ratio: 0.6361
Client 45, noise level: 0.5807 (0.5226), real noise ratio: 0.5120
Client 46, noise level: 0.6380 (0.5742), real noise ratio: 0.5463
Client 47, noise level: 0.6133 (0.5519), real noise ratio: 0.5664
Client 48, noise level: 0.6523 (0.5871), real noise ratio: 0.5806
Client 49, noise level: 0.5681 (0.5113), real noise ratio: 0.4927
Client 50, noise level: 0.8471 (0.7624), real noise ratio: 0.7179
Client 51, noise level: 0.5264 (0.4738), real noise ratio: 0.4771
Client 52, noise level: 0.7907 (0.7116), real noise ratio: 0.7267
Client 53, noise level: 0.5899 (0.5309), real noise ratio: 0.5255
Client 54, noise level: 0.7533 (0.6780), real noise ratio: 0.6541
Client 55, noise level: 0.6408 (0.5767), real noise ratio: 0.5953
Client 56, noise level: 0.6850 (0.6165), real noise ratio: 0.6143
Client 57, noise level: 0.7523 (0.6770), real noise ratio: 0.6733
Client 58, noise level: 0.5612 (0.5050), real noise ratio: 0.5000
Client 59, noise level: 0.5653 (0.5088), real noise ratio: 0.5139
Client 60, noise level: 0.9222 (0.8300), real noise ratio: 0.8430
Client 61, noise level: 0.6961 (0.6265), real noise ratio: 0.6483
Client 62, noise level: 0.5848 (0.5263), real noise ratio: 0.5381
Client 63, noise level: 0.9006 (0.8105), real noise ratio: 0.7879
Client 64, noise level: 0.9551 (0.8596), real noise ratio: 0.8093
Client 65, noise level: 0.9148 (0.8233), real noise ratio: 0.8143
Client 66, noise level: 0.8570 (0.7713), real noise ratio: 0.7758
Client 67, noise level: 0.5497 (0.4947), real noise ratio: 0.4843
Client 68, noise level: 0.9567 (0.8610), real noise ratio: 0.8645
Client 69, noise level: 0.7890 (0.7101), real noise ratio: 0.7081
Client 70, noise level: 0.9501 (0.8551), real noise ratio: 0.8381
Client 71, noise level: 0.7818 (0.7036), real noise ratio: 0.6819
Client 72, noise level: 0.5049 (0.4544), real noise ratio: 0.5026
Client 73, noise level: 0.9971 (0.8974), real noise ratio: 0.8798
Client 74, noise level: 0.5662 (0.5096), real noise ratio: 0.5016
Client 75, noise level: 0.8463 (0.7617), real noise ratio: 0.7603
Client 76, noise level: 0.6671 (0.6004), real noise ratio: 0.6364
Client 77, noise level: 0.5901 (0.5311), real noise ratio: 0.5363
Client 78, noise level: 0.5703 (0.5133), real noise ratio: 0.4893
Client 79, noise level: 0.8346 (0.7512), real noise ratio: 0.7167
Client 80, noise level: 0.6519 (0.5867), real noise ratio: 0.5628
Client 81, noise level: 0.8068 (0.7261), real noise ratio: 0.7090
Client 82, noise level: 0.9678 (0.8710), real noise ratio: 0.8617
Client 83, noise level: 0.6015 (0.5413), real noise ratio: 0.5045
Client 84, noise level: 0.5598 (0.5038), real noise ratio: 0.5635
Client 85, noise level: 0.6961 (0.6265), real noise ratio: 0.6071
Client 86, noise level: 0.8473 (0.7625), real noise ratio: 0.7749
Client 87, noise level: 0.9725 (0.8752), real noise ratio: 0.8713
Client 88, noise level: 0.5817 (0.5235), real noise ratio: 0.4955
Client 89, noise level: 0.7294 (0.6564), real noise ratio: 0.6263
Client 90, noise level: 0.6394 (0.5755), real noise ratio: 0.5477
Client 91, noise level: 0.6023 (0.5421), real noise ratio: 0.5374
Client 92, noise level: 0.6542 (0.5888), real noise ratio: 0.5766
Client 93, noise level: 0.8978 (0.8080), real noise ratio: 0.8322
Client 94, noise level: 0.5464 (0.4918), real noise ratio: 0.5215
Client 95, noise level: 0.9345 (0.8411), real noise ratio: 0.8307
Client 96, noise level: 0.9169 (0.8252), real noise ratio: 0.7895
Client 97, noise level: 0.8409 (0.7568), real noise ratio: 0.7258
Client 98, noise level: 0.6479 (0.5831), real noise ratio: 0.6226
Client 99, noise level: 0.5831 (0.5248), real noise ratio: 0.4848
Rounds 0 early training:
Round 0 train loss  2.1583
Round 0 global test acc  20.1600 

Rounds 1 early training:
Round 1 train loss  2.1284
Round 1 global test acc  21.0800 

Rounds 2 early training:
Round 2 train loss  1.9654
Round 2 global test acc  15.8000 

Rounds 3 early training:
Round 3 train loss  1.4408
Round 3 global test acc  37.9700 

Rounds 4 early training:
Round 4 train loss  0.8548
Round 4 global test acc  31.2300 

Rounds 5 early training:
Round 5 train loss  0.0337
Round 5 global test acc  32.4900 

Rounds 6 early training:
Round 6 train loss  -2.1437
Round 6 global test acc  30.5100 

Rounds 7 early training:
Round 7 train loss  -2.8281
Round 7 global test acc  25.3700 

Rounds 8 early training:
Round 8 train loss  -4.4727
Round 8 global test acc  16.0400 

Rounds 9 early training:
Round 9 train loss  -8.3884
Round 9 global test acc  31.7000 

Rounds 10 early training:
Round 10 train loss  -9.4433
Round 10 global test acc  47.5700 

Rounds 11 filter noisy data:
Round 11 train loss  -28.0177
Round 11 global test acc  60.3200 

Rounds 12 filter noisy data:
Round 12 train loss  -28.6700
Round 12 global test acc  66.6000 

Rounds 13 filter noisy data:
Round 13 train loss  -30.2238
Round 13 global test acc  71.5600 

Rounds 14 filter noisy data:
Round 14 train loss  -30.3703
Round 14 global test acc  76.0100 

Rounds 15 filter noisy data:
Round 15 train loss  -30.1354
Round 15 global test acc  79.5800 

Rounds 16 filter noisy data:
Round 16 train loss  -30.3230
Round 16 global test acc  81.4400 

Rounds 17 filter noisy data:
Round 17 train loss  -30.1488
Round 17 global test acc  81.6200 

Rounds 18 filter noisy data:
Round 18 train loss  -30.5690
Round 18 global test acc  68.4600 

Rounds 19 filter noisy data:
Round 19 train loss  -31.1865
Round 19 global test acc  76.9000 

Rounds 20 filter noisy data:
Round 20 train loss  -30.9961
Round 20 global test acc  80.1700 

Rounds 21 filter noisy data:
Round 21 train loss  -30.7539
Round 21 global test acc  79.6800 

Rounds 22 filter noisy data:
Round 22 train loss  -30.0914
Round 22 global test acc  87.3900 

Rounds 23 filter noisy data:
Round 23 train loss  -31.1116
Round 23 global test acc  85.9700 

Rounds 24 filter noisy data:
Round 24 train loss  -31.6722
Round 24 global test acc  83.0500 

Rounds 25 filter noisy data:
Round 25 train loss  -29.8630
Round 25 global test acc  87.7100 

Rounds 26 filter noisy data:
Round 26 train loss  -31.5764
Round 26 global test acc  89.4700 

Rounds 27 filter noisy data:
Round 27 train loss  -30.9420
Round 27 global test acc  88.0900 

Rounds 28 filter noisy data:
Round 28 train loss  -31.6900
Round 28 global test acc  87.3100 

Rounds 29 filter noisy data:
Round 29 train loss  -31.4275
Round 29 global test acc  88.7400 

Rounds 30 filter noisy data:
Round 30 train loss  -31.2449
Round 30 global test acc  89.2600 

Rounds 31 filter noisy data:
Round 31 train loss  -30.3084
Round 31 global test acc  89.3400 

Rounds 32 filter noisy data:
Round 32 train loss  -30.7519
Round 32 global test acc  89.0400 

Rounds 33 filter noisy data:
Round 33 train loss  -31.6077
Round 33 global test acc  88.5200 

Rounds 34 filter noisy data:
Round 34 train loss  -30.4096
Round 34 global test acc  89.4500 

Rounds 35 filter noisy data:
Round 35 train loss  -31.5617
Round 35 global test acc  87.9100 

Rounds 36 filter noisy data:
Round 36 train loss  -30.5728
Round 36 global test acc  90.3500 

Rounds 37 filter noisy data:
Round 37 train loss  -30.8507
Round 37 global test acc  90.3500 

Rounds 38 filter noisy data:
Round 38 train loss  -31.2105
Round 38 global test acc  89.3700 

Rounds 39 filter noisy data:
Round 39 train loss  -31.0348
Round 39 global test acc  89.4200 

Rounds 40 filter noisy data:
Round 40 train loss  -30.8658
Round 40 global test acc  90.5700 

Rounds 41 filter noisy data:
Round 41 train loss  -31.1724
Round 41 global test acc  90.1500 

Rounds 42 filter noisy data:
Round 42 train loss  -31.1525
Round 42 global test acc  91.7100 

Rounds 43 filter noisy data:
Round 43 train loss  -31.4193
Round 43 global test acc  92.0600 

Rounds 44 filter noisy data:
Round 44 train loss  -30.2527
Round 44 global test acc  87.5000 

Rounds 45 filter noisy data:
Round 45 train loss  -30.9727
Round 45 global test acc  88.8000 

Rounds 46 filter noisy data:
Round 46 train loss  -30.8650
Round 46 global test acc  91.2000 

Rounds 47 filter noisy data:
Round 47 train loss  -31.5325
Round 47 global test acc  91.3100 

Rounds 48 filter noisy data:
Round 48 train loss  -31.3638
Round 48 global test acc  90.5800 

Rounds 49 filter noisy data:
Round 49 train loss  -30.4412
Round 49 global test acc  90.5900 

Rounds 50 filter noisy data:
Round 50 train loss  -30.7060
Round 50 global test acc  91.0000 

Rounds 51 filter noisy data:
Round 51 train loss  -31.5131
Round 51 global test acc  89.4400 

Rounds 52 filter noisy data:
Round 52 train loss  -31.7544
Round 52 global test acc  88.0300 

Rounds 53 filter noisy data:
Round 53 train loss  -31.4726
Round 53 global test acc  90.2000 

Rounds 54 filter noisy data:
Round 54 train loss  -31.3909
Round 54 global test acc  88.8000 

Rounds 55 filter noisy data:
Round 55 train loss  -31.7034
Round 55 global test acc  91.7500 

Rounds 56 filter noisy data:
Round 56 train loss  -30.7869
Round 56 global test acc  90.7100 

Rounds 57 filter noisy data:
Round 57 train loss  -31.7425
Round 57 global test acc  91.0800 

Rounds 58 filter noisy data:
Round 58 train loss  -30.6986
Round 58 global test acc  90.8000 

Rounds 59 filter noisy data:
Round 59 train loss  -31.1887
Round 59 global test acc  92.5100 

Rounds 60 filter noisy data:
Round 60 train loss  -30.4559
Round 60 global test acc  92.3900 

Rounds 61 filter noisy data:
Round 61 train loss  -30.3430
Round 61 global test acc  89.1800 

Rounds 62 filter noisy data:
Round 62 train loss  -31.1915
Round 62 global test acc  93.3200 

Rounds 63 filter noisy data:
Round 63 train loss  -31.5327
Round 63 global test acc  92.5200 

Rounds 64 filter noisy data:
Round 64 train loss  -31.9453
Round 64 global test acc  92.6300 

Rounds 65 filter noisy data:
Round 65 train loss  -31.9120
Round 65 global test acc  89.9300 

Rounds 66 filter noisy data:
Round 66 train loss  -30.7375
Round 66 global test acc  92.6400 

Rounds 67 filter noisy data:
Round 67 train loss  -31.9466
Round 67 global test acc  92.2900 

Rounds 68 filter noisy data:
Round 68 train loss  -31.7161
Round 68 global test acc  92.8900 

Rounds 69 filter noisy data:
Round 69 train loss  -32.1638
Round 69 global test acc  92.3100 

Rounds 70 filter noisy data:
Round 70 train loss  -31.9954
Round 70 global test acc  93.6300 

Rounds 71 filter noisy data:
Round 71 train loss  -31.1613
Round 71 global test acc  91.3900 

Rounds 72 filter noisy data:
Round 72 train loss  -30.8173
Round 72 global test acc  90.1000 

Rounds 73 filter noisy data:
Round 73 train loss  -31.2469
Round 73 global test acc  91.0300 

Rounds 74 filter noisy data:
Round 74 train loss  -31.6570
Round 74 global test acc  93.1800 

Rounds 75 filter noisy data:
Round 75 train loss  -31.5491
Round 75 global test acc  89.4700 

Rounds 76 filter noisy data:
Round 76 train loss  -31.6731
Round 76 global test acc  91.6700 

Rounds 77 filter noisy data:
Round 77 train loss  -31.3136
Round 77 global test acc  91.0500 

Rounds 78 filter noisy data:
Round 78 train loss  -31.9651
Round 78 global test acc  93.2000 

Rounds 79 filter noisy data:
Round 79 train loss  -32.2073
Round 79 global test acc  93.3900 

Rounds 80 filter noisy data:
Round 80 train loss  -29.6198
Round 80 global test acc  92.6300 

Rounds 81 filter noisy data:
Round 81 train loss  -31.7651
Round 81 global test acc  92.8100 

Rounds 82 filter noisy data:
Round 82 train loss  -31.9074
Round 82 global test acc  93.8100 

Rounds 83 filter noisy data:
Round 83 train loss  -31.9195
Round 83 global test acc  93.8300 

Rounds 84 filter noisy data:
Round 84 train loss  -31.8242
Round 84 global test acc  93.3200 

Rounds 85 filter noisy data:
Round 85 train loss  -31.6857
Round 85 global test acc  92.6500 

Rounds 86 filter noisy data:
Round 86 train loss  -31.8452
Round 86 global test acc  92.9100 

Rounds 87 filter noisy data:
Round 87 train loss  -30.5205
Round 87 global test acc  92.8100 

Rounds 88 filter noisy data:
Round 88 train loss  -31.1617
Round 88 global test acc  93.2700 

Rounds 89 filter noisy data:
Round 89 train loss  -31.4271
Round 89 global test acc  92.7500 

Rounds 90 filter noisy data:
Round 90 train loss  -32.1147
Round 90 global test acc  94.2500 

Rounds 91 filter noisy data:
Round 91 train loss  -31.2544
Round 91 global test acc  93.8300 

Rounds 92 filter noisy data:
Round 92 train loss  -31.5406
Round 92 global test acc  93.9700 

Rounds 93 filter noisy data:
Round 93 train loss  -30.8204
Round 93 global test acc  93.9400 

Rounds 94 filter noisy data:
Round 94 train loss  -31.9953
Round 94 global test acc  94.1100 

Rounds 95 filter noisy data:
Round 95 train loss  -31.0088
Round 95 global test acc  93.9400 

Rounds 96 filter noisy data:
Round 96 train loss  -31.6241
Round 96 global test acc  92.5300 

Rounds 97 filter noisy data:
Round 97 train loss  -31.9126
Round 97 global test acc  94.5900 

Rounds 98 filter noisy data:
Round 98 train loss  -30.3457
Round 98 global test acc  93.1700 

Rounds 99 filter noisy data:
Round 99 train loss  -30.5985
Round 99 global test acc  92.3700 

Rounds 100 filter noisy data:
Round 100 train loss  -32.1160
Round 100 global test acc  93.6300 

Rounds 101 filter noisy data:
Round 101 train loss  -32.1292
Round 101 global test acc  92.3100 

Rounds 102 filter noisy data:
Round 102 train loss  -30.9390
Round 102 global test acc  93.2700 

Rounds 103 filter noisy data:
Round 103 train loss  -31.2869
Round 103 global test acc  93.3400 

Rounds 104 filter noisy data:
Round 104 train loss  -31.3632
Round 104 global test acc  93.5200 

Rounds 105 filter noisy data:
Round 105 train loss  -30.7511
Round 105 global test acc  92.4000 

Rounds 106 filter noisy data:
Round 106 train loss  -31.9398
Round 106 global test acc  93.5600 

Rounds 107 filter noisy data:
Round 107 train loss  -31.5188
Round 107 global test acc  93.2800 

Rounds 108 filter noisy data:
Round 108 train loss  -31.7187
Round 108 global test acc  94.3000 

Rounds 109 filter noisy data:
Round 109 train loss  -30.1382
Round 109 global test acc  94.8600 

Rounds 110 filter noisy data:
Round 110 train loss  -32.5106
Round 110 global test acc  93.4100 

Rounds 111 filter noisy data:
Round 111 train loss  -32.0804
Round 111 global test acc  93.8500 

Rounds 112 filter noisy data:
Round 112 train loss  -32.1929
Round 112 global test acc  93.8700 

Rounds 113 filter noisy data:
Round 113 train loss  -31.4624
Round 113 global test acc  94.3300 

Rounds 114 filter noisy data:
Round 114 train loss  -30.1754
Round 114 global test acc  93.7400 

Rounds 115 filter noisy data:
Round 115 train loss  -31.6739
Round 115 global test acc  94.4800 

Rounds 116 filter noisy data:
Round 116 train loss  -31.8319
Round 116 global test acc  93.8800 

Rounds 117 filter noisy data:
Round 117 train loss  -31.3915
Round 117 global test acc  94.5000 

Rounds 118 filter noisy data:
Round 118 train loss  -31.1375
Round 118 global test acc  93.8800 

Rounds 119 filter noisy data:
Round 119 train loss  -31.6472
Round 119 global test acc  94.5200 

Rounds 120 filter noisy data:
Round 120 train loss  -31.9500
Round 120 global test acc  93.4200 

Rounds 121 filter noisy data:
Round 121 train loss  -31.5262
Round 121 global test acc  94.3800 

Rounds 122 filter noisy data:
Round 122 train loss  -30.2239
Round 122 global test acc  92.3700 

Rounds 123 filter noisy data:
Round 123 train loss  -30.5306
Round 123 global test acc  92.1400 

Rounds 124 filter noisy data:
Round 124 train loss  -30.8841
Round 124 global test acc  93.3000 

Rounds 125 filter noisy data:
Round 125 train loss  -31.0805
Round 125 global test acc  94.3500 

Rounds 126 filter noisy data:
Round 126 train loss  -31.9658
Round 126 global test acc  92.9100 

Rounds 127 filter noisy data:
Round 127 train loss  -30.5616
Round 127 global test acc  93.0400 

Rounds 128 filter noisy data:
Round 128 train loss  -32.2365
Round 128 global test acc  94.3300 

Rounds 129 filter noisy data:
Round 129 train loss  -31.7466
Round 129 global test acc  94.9800 

Rounds 130 filter noisy data:
Round 130 train loss  -31.9974
Round 130 global test acc  94.5100 

Rounds 131 filter noisy data:
Round 131 train loss  -31.6721
Round 131 global test acc  95.0100 

Rounds 132 filter noisy data:
Round 132 train loss  -32.2004
Round 132 global test acc  89.8600 

Rounds 133 filter noisy data:
Round 133 train loss  -32.2543
Round 133 global test acc  92.3300 

Rounds 134 filter noisy data:
Round 134 train loss  -31.3722
Round 134 global test acc  94.1900 

Rounds 135 filter noisy data:
Round 135 train loss  -32.2135
Round 135 global test acc  94.4100 

Rounds 136 filter noisy data:
Round 136 train loss  -31.3326
Round 136 global test acc  95.3000 

Rounds 137 filter noisy data:
Round 137 train loss  -32.3733
Round 137 global test acc  95.0000 

Rounds 138 filter noisy data:
Round 138 train loss  -31.2535
Round 138 global test acc  94.3900 

Rounds 139 filter noisy data:
Round 139 train loss  -32.2537
Round 139 global test acc  94.9500 

Rounds 140 filter noisy data:
Round 140 train loss  -31.9975
Round 140 global test acc  95.2600 

Rounds 141 filter noisy data:
Round 141 train loss  -31.7777
Round 141 global test acc  94.6700 

Rounds 142 filter noisy data:
Round 142 train loss  -31.8152
Round 142 global test acc  94.0300 

Rounds 143 filter noisy data:
Round 143 train loss  -32.1129
Round 143 global test acc  95.2600 

Rounds 144 filter noisy data:
Round 144 train loss  -31.6330
Round 144 global test acc  92.7400 

Rounds 145 filter noisy data:
Round 145 train loss  -30.8156
Round 145 global test acc  94.1700 

Rounds 146 filter noisy data:
Round 146 train loss  -32.3318
Round 146 global test acc  94.8000 

Rounds 147 filter noisy data:
Round 147 train loss  -29.9695
Round 147 global test acc  93.3600 

Rounds 148 filter noisy data:
Round 148 train loss  -31.8940
Round 148 global test acc  94.7600 

Rounds 149 filter noisy data:
Round 149 train loss  -31.4295
Round 149 global test acc  94.3400 

Rounds 150 filter noisy data:
Round 150 train loss  -32.1580
Round 150 global test acc  93.9800 

Rounds 151 filter noisy data:
Round 151 train loss  -31.3396
Round 151 global test acc  93.1200 

Rounds 152 filter noisy data:
Round 152 train loss  -30.9218
Round 152 global test acc  94.0700 

Rounds 153 filter noisy data:
Round 153 train loss  -31.3168
Round 153 global test acc  93.2100 

Rounds 154 filter noisy data:
Round 154 train loss  -32.5233
Round 154 global test acc  93.9800 

Rounds 155 filter noisy data:
Round 155 train loss  -30.3471
Round 155 global test acc  94.8900 

Rounds 156 filter noisy data:
Round 156 train loss  -31.3426
Round 156 global test acc  94.9300 

Rounds 157 filter noisy data:
Round 157 train loss  -30.6974
Round 157 global test acc  94.1800 

Rounds 158 filter noisy data:
Round 158 train loss  -31.5871
Round 158 global test acc  94.8000 

Rounds 159 filter noisy data:
Round 159 train loss  -31.5847
Round 159 global test acc  94.6200 

Rounds 160 filter noisy data:
Round 160 train loss  -32.1618
Round 160 global test acc  94.0800 

Rounds 161 filter noisy data:
Round 161 train loss  -31.1761
Round 161 global test acc  94.1300 

Rounds 162 filter noisy data:
Round 162 train loss  -30.8647
Round 162 global test acc  92.1300 

Rounds 163 filter noisy data:
Round 163 train loss  -32.3853
Round 163 global test acc  93.9800 

Rounds 164 filter noisy data:
Round 164 train loss  -31.4095
Round 164 global test acc  94.7200 

Rounds 165 filter noisy data:
Round 165 train loss  -31.8518
Round 165 global test acc  93.9400 

Rounds 166 filter noisy data:
Round 166 train loss  -31.3093
Round 166 global test acc  94.0900 

Rounds 167 filter noisy data:
Round 167 train loss  -31.5945
Round 167 global test acc  95.2000 

Rounds 168 filter noisy data:
Round 168 train loss  -31.8042
Round 168 global test acc  93.9700 

Rounds 169 filter noisy data:
Round 169 train loss  -31.4486
Round 169 global test acc  95.0700 

Rounds 170 filter noisy data:
Round 170 train loss  -31.5857
Round 170 global test acc  94.8400 

Rounds 171 filter noisy data:
Round 171 train loss  -32.1149
Round 171 global test acc  95.6600 

Rounds 172 filter noisy data:
Round 172 train loss  -31.3534
Round 172 global test acc  94.6600 

Rounds 173 filter noisy data:
Round 173 train loss  -30.9796
Round 173 global test acc  93.8500 

Rounds 174 filter noisy data:
Round 174 train loss  -31.5959
Round 174 global test acc  95.4300 

Rounds 175 filter noisy data:
Round 175 train loss  -31.9587
Round 175 global test acc  95.1000 

Rounds 176 filter noisy data:
Round 176 train loss  -31.8352
Round 176 global test acc  94.7100 

Rounds 177 filter noisy data:
Round 177 train loss  -31.2006
Round 177 global test acc  94.5700 

Rounds 178 filter noisy data:
Round 178 train loss  -31.7850
Round 178 global test acc  94.6600 

Rounds 179 filter noisy data:
Round 179 train loss  -31.7474
Round 179 global test acc  95.7400 

Rounds 180 filter noisy data:
Round 180 train loss  -31.6559
Round 180 global test acc  94.2100 

Rounds 181 filter noisy data:
Round 181 train loss  -31.3982
Round 181 global test acc  95.0700 

Rounds 182 filter noisy data:
Round 182 train loss  -30.7638
Round 182 global test acc  92.1400 

Rounds 183 filter noisy data:
Round 183 train loss  -31.8327
Round 183 global test acc  95.1600 

Rounds 184 filter noisy data:
Round 184 train loss  -30.2068
Round 184 global test acc  94.9000 

Rounds 185 filter noisy data:
Round 185 train loss  -31.7409
Round 185 global test acc  95.5000 

Rounds 186 filter noisy data:
Round 186 train loss  -32.2357
Round 186 global test acc  95.6200 

Rounds 187 filter noisy data:
Round 187 train loss  -30.5274
Round 187 global test acc  93.3200 

Rounds 188 filter noisy data:
Round 188 train loss  -30.6450
Round 188 global test acc  93.9000 

Rounds 189 filter noisy data:
Round 189 train loss  -31.1867
Round 189 global test acc  91.0100 

Rounds 190 filter noisy data:
Round 190 train loss  -31.1278
Round 190 global test acc  95.6100 

Rounds 191 filter noisy data:
Round 191 train loss  -31.9786
Round 191 global test acc  95.5600 

Rounds 192 filter noisy data:
Round 192 train loss  -31.1614
Round 192 global test acc  93.9700 

Rounds 193 filter noisy data:
Round 193 train loss  -31.9749
Round 193 global test acc  93.6400 

Rounds 194 filter noisy data:
Round 194 train loss  -30.0828
Round 194 global test acc  94.0200 

Rounds 195 filter noisy data:
Round 195 train loss  -31.8762
Round 195 global test acc  94.5300 

Rounds 196 filter noisy data:
Round 196 train loss  -30.3340
Round 196 global test acc  94.1100 

Rounds 197 filter noisy data:
Round 197 train loss  -32.1446
Round 197 global test acc  95.6800 

Rounds 198 filter noisy data:
Round 198 train loss  -31.9139
Round 198 global test acc  95.3900 

Rounds 199 filter noisy data:
Round 199 train loss  -32.3762
Round 199 global test acc  95.2100 

Round 199 Fscore 

