('algorithm', 'MR')
('gpu', 0)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.3)
('dataset', 'mnist')
('iid', False)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.05)
('lamda', 15)
('K', 5)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
Client 43, noise level: 0.5209 (0.4688), real noise ratio: 0.4461
Client 44, noise level: 0.6976 (0.6279), real noise ratio: 0.5908
Client 45, noise level: 0.5807 (0.5226), real noise ratio: 0.4825
Client 46, noise level: 0.6380 (0.5742), real noise ratio: 0.6180
Client 47, noise level: 0.6133 (0.5519), real noise ratio: 0.5509
Client 48, noise level: 0.6523 (0.5871), real noise ratio: 0.5885
Client 49, noise level: 0.5681 (0.5113), real noise ratio: 0.5036
Client 50, noise level: 0.8471 (0.7624), real noise ratio: 0.7506
Client 51, noise level: 0.5264 (0.4738), real noise ratio: 0.4707
Client 52, noise level: 0.7907 (0.7116), real noise ratio: 0.7188
Client 53, noise level: 0.5899 (0.5309), real noise ratio: 0.5490
Client 54, noise level: 0.7533 (0.6780), real noise ratio: 0.6844
Client 55, noise level: 0.6408 (0.5767), real noise ratio: 0.5853
Client 56, noise level: 0.6850 (0.6165), real noise ratio: 0.6034
Client 57, noise level: 0.7523 (0.6770), real noise ratio: 0.6585
Client 58, noise level: 0.5612 (0.5050), real noise ratio: 0.5421
Client 59, noise level: 0.5653 (0.5088), real noise ratio: 0.5298
Client 60, noise level: 0.9222 (0.8300), real noise ratio: 0.8735
Client 61, noise level: 0.6961 (0.6265), real noise ratio: 0.5922
Client 62, noise level: 0.5848 (0.5263), real noise ratio: 0.5243
Client 63, noise level: 0.9006 (0.8105), real noise ratio: 0.8134
Client 64, noise level: 0.9551 (0.8596), real noise ratio: 0.8555
Client 65, noise level: 0.9148 (0.8233), real noise ratio: 0.8265
Client 66, noise level: 0.8570 (0.7713), real noise ratio: 0.7196
Client 67, noise level: 0.5497 (0.4947), real noise ratio: 0.4601
Client 68, noise level: 0.9567 (0.8610), real noise ratio: 0.8936
Client 69, noise level: 0.7890 (0.7101), real noise ratio: 0.7123
Client 70, noise level: 0.9501 (0.8551), real noise ratio: 0.8485
Client 71, noise level: 0.7818 (0.7036), real noise ratio: 0.6914
Client 72, noise level: 0.5049 (0.4544), real noise ratio: 0.4242
Client 73, noise level: 0.9971 (0.8974), real noise ratio: 0.8929
Client 74, noise level: 0.5662 (0.5096), real noise ratio: 0.4745
Client 75, noise level: 0.8463 (0.7617), real noise ratio: 0.7726
Client 76, noise level: 0.6671 (0.6004), real noise ratio: 0.6005
Client 77, noise level: 0.5901 (0.5311), real noise ratio: 0.5311
Client 78, noise level: 0.5703 (0.5133), real noise ratio: 0.5087
Client 79, noise level: 0.8346 (0.7512), real noise ratio: 0.7429
Client 80, noise level: 0.6519 (0.5867), real noise ratio: 0.5900
Client 81, noise level: 0.8068 (0.7261), real noise ratio: 0.7273
Client 82, noise level: 0.9678 (0.8710), real noise ratio: 0.8655
Client 83, noise level: 0.6015 (0.5413), real noise ratio: 0.5056
Client 84, noise level: 0.5598 (0.5038), real noise ratio: 0.5128
Client 85, noise level: 0.6961 (0.6265), real noise ratio: 0.6494
Client 86, noise level: 0.8473 (0.7625), real noise ratio: 0.7738
Client 87, noise level: 0.9725 (0.8752), real noise ratio: 0.8703
Client 88, noise level: 0.5817 (0.5235), real noise ratio: 0.5345
Client 89, noise level: 0.7294 (0.6564), real noise ratio: 0.6597
Client 90, noise level: 0.6394 (0.5755), real noise ratio: 0.5605
Client 91, noise level: 0.6023 (0.5421), real noise ratio: 0.5020
Client 92, noise level: 0.6542 (0.5888), real noise ratio: 0.5923
Client 93, noise level: 0.8978 (0.8080), real noise ratio: 0.8084
Client 94, noise level: 0.5464 (0.4918), real noise ratio: 0.5113
Client 95, noise level: 0.9345 (0.8411), real noise ratio: 0.8318
Client 96, noise level: 0.9169 (0.8252), real noise ratio: 0.8455
Client 97, noise level: 0.8409 (0.7568), real noise ratio: 0.7299
Client 98, noise level: 0.6479 (0.5831), real noise ratio: 0.5617
Client 99, noise level: 0.5831 (0.5248), real noise ratio: 0.4956
Round 0 global test acc  12.0206
Round 0 Fscore 

[]
Round 1 global test acc  30.5773
Round 1 Fscore 

[]
Round 2 global test acc  35.7010
Round 2 Fscore 

[]
Round 3 global test acc  58.9794
Round 3 Fscore 

[]
Round 4 global test acc  66.1546
Round 4 Fscore 

[]
Round 5 global test acc  74.6495
Round 5 Fscore 

[]
Round 6 global test acc  69.4639
Round 6 Fscore 

[]
Round 7 global test acc  70.4948
Round 7 Fscore 

[]
Round 8 global test acc  81.0309
Round 8 Fscore 

[]
Round 9 global test acc  86.1959
Round 9 Fscore 

[]
Round 10 global test acc  73.7010
Round 10 Fscore 

[]
Round 11 global test acc  67.2371
Round 11 Fscore 

[]
Round 12 global test acc  73.0928
Round 12 Fscore 

[]
Round 13 global test acc  83.9072
Round 13 Fscore 

[]
Round 14 global test acc  82.7732
Round 14 Fscore 

[]
Round 15 global test acc  76.3814
Round 15 Fscore 

[]
Round 16 global test acc  72.7938
Round 16 Fscore 

[]
Round 17 global test acc  75.2990
Round 17 Fscore 

[]
Round 18 global test acc  81.7526
Round 18 Fscore 

[]
Round 19 global test acc  83.9588
Round 19 Fscore 

[]
Round 20 global test acc  86.3814
Round 20 Fscore 

[]
Round 21 global test acc  81.6804
Round 21 Fscore 

[]
Round 22 global test acc  80.7732
Round 22 Fscore 

[]
Round 23 global test acc  85.5773
Round 23 Fscore 

[]
Round 24 global test acc  89.1031
Round 24 Fscore 

[]
Round 25 global test acc  84.1134
Round 25 Fscore 

[]
Round 26 global test acc  86.1443
Round 26 Fscore 

[]
Round 27 global test acc  85.2062
Round 27 Fscore 

[]
Round 28 global test acc  82.4021
Round 28 Fscore 

[]
Round 29 global test acc  80.8144
Round 29 Fscore 

[]
Round 30 global test acc  85.4021
Round 30 Fscore 

[]
Round 31 global test acc  86.0000
Round 31 Fscore 

[]
Round 32 global test acc  85.3711
Round 32 Fscore 

[]
Round 33 global test acc  82.4948
Round 33 Fscore 

[]
Round 34 global test acc  82.1856
Round 34 Fscore 

[]
Round 35 global test acc  82.3711
Round 35 Fscore 

[]
Round 36 global test acc  83.3402
Round 36 Fscore 

[]
Round 37 global test acc  82.4227
Round 37 Fscore 

[]
Round 38 global test acc  88.4021
Round 38 Fscore 

[]
Round 39 global test acc  88.2165
Round 39 Fscore 

[]
Round 40 global test acc  86.2062
Round 40 Fscore 

[]
Round 41 global test acc  85.9381
Round 41 Fscore 

[]
Round 42 global test acc  85.3299
Round 42 Fscore 

[]
Round 43 global test acc  83.2680
Round 43 Fscore 

[]
Round 44 global test acc  83.8041
Round 44 Fscore 

[]
Round 45 global test acc  84.9175
Round 45 Fscore 

[]
Round 46 global test acc  84.9794
Round 46 Fscore 

[]
Round 47 global test acc  84.1856
Round 47 Fscore 

[]
Round 48 global test acc  86.4330
Round 48 Fscore 

[]
Round 49 global test acc  87.2680
Round 49 Fscore 

[]
Round 50 global test acc  84.6907
Round 50 Fscore 

[]
Round 51 global test acc  85.3814
Round 51 Fscore 

[]
Round 52 global test acc  86.0103
Round 52 Fscore 

[]
Round 53 global test acc  86.2474
Round 53 Fscore 

[]
Round 54 global test acc  84.4124
Round 54 Fscore 

[]
Round 55 global test acc  83.6495
Round 55 Fscore 

[]
Round 56 global test acc  82.4742
Round 56 Fscore 

[]
Round 57 global test acc  81.1237
Round 57 Fscore 

[]
Round 58 global test acc  84.6907
Round 58 Fscore 

[]
Round 59 global test acc  82.3093
Round 59 Fscore 

[]
Round 60 global test acc  83.0928
Round 60 Fscore 

[]
Round 61 global test acc  83.7010
Round 61 Fscore 

[]
Round 62 global test acc  81.1856
Round 62 Fscore 

[]
Round 63 global test acc  83.5567
Round 63 Fscore 

[]
Round 64 global test acc  84.3196
Round 64 Fscore 

[]
Round 65 global test acc  82.8969
Round 65 Fscore 

[]
Round 66 global test acc  83.9897
Round 66 Fscore 

[]
Round 67 global test acc  83.4845
Round 67 Fscore 

[]
Round 68 global test acc  84.0412
Round 68 Fscore 

[]
Round 69 global test acc  84.3918
Round 69 Fscore 

[]
Round 70 global test acc  83.6289
Round 70 Fscore 

[]
Round 71 global test acc  82.1546
Round 71 Fscore 

[]
Round 72 global test acc  81.5361
Round 72 Fscore 

[]
Round 73 global test acc  81.1959
Round 73 Fscore 

[]
Round 74 global test acc  83.1443
Round 74 Fscore 

[]
Round 75 global test acc  84.4639
Round 75 Fscore 

[]
Round 76 global test acc  85.0619
Round 76 Fscore 

[]
Round 77 global test acc  84.2887
Round 77 Fscore 

[]
Round 78 global test acc  84.2680
Round 78 Fscore 

[]
Round 79 global test acc  85.3711
Round 79 Fscore 

[]
Round 80 global test acc  86.4742
Round 80 Fscore 

[]
Round 81 global test acc  84.0825
Round 81 Fscore 

[]
Round 82 global test acc  85.4433
Round 82 Fscore 

[]
Round 83 global test acc  84.7113
Round 83 Fscore 

[]
Round 84 global test acc  83.2268
Round 84 Fscore 

[]
Round 85 global test acc  84.2062
Round 85 Fscore 

[]
Round 86 global test acc  84.0206
Round 86 Fscore 

[]
Round 87 global test acc  84.6082
Round 87 Fscore 

[]
Round 88 global test acc  84.5155
Round 88 Fscore 

[]
Round 89 global test acc  84.4330
Round 89 Fscore 

[]
Round 90 global test acc  82.9691
Round 90 Fscore 

[]
Round 91 global test acc  80.5052
Round 91 Fscore 

[]
Round 92 global test acc  84.0000
Round 92 Fscore 

[]
Round 93 global test acc  83.9485
Round 93 Fscore 

[]
Round 94 global test acc  83.0309
Round 94 Fscore 

[]
Round 95 global test acc  84.1959
Round 95 Fscore 

[]
Round 96 global test acc  84.7423
Round 96 Fscore 

[]
Round 97 global test acc  84.3711
Round 97 Fscore 

[]
Round 98 global test acc  83.6907
Round 98 Fscore 

[]
Round 99 global test acc  82.2887
Round 99 Fscore 

[]
Round 100 global test acc  84.9381
Round 100 Fscore 

[]
Round 101 global test acc  85.1340
Round 101 Fscore 

[]
Round 102 global test acc  84.2887
Round 102 Fscore 

[]
Round 103 global test acc  84.2165
Round 103 Fscore 

[]
Round 104 global test acc  84.1959
Round 104 Fscore 

[]
Round 105 global test acc  84.3711
Round 105 Fscore 

[]
Round 106 global test acc  83.8351
Round 106 Fscore 

[]
Round 107 global test acc  83.4742
Round 107 Fscore 

[]
Round 108 global test acc  83.7010
Round 108 Fscore 

[]
Round 109 global test acc  83.9485
Round 109 Fscore 

[]
Round 110 global test acc  83.7113
Round 110 Fscore 

[]
Round 111 global test acc  83.2784
Round 111 Fscore 

[]
Round 112 global test acc  83.4433
Round 112 Fscore 

[]
Round 113 global test acc  82.7732
Round 113 Fscore 

[]
Round 114 global test acc  83.5464
Round 114 Fscore 

[]
Round 115 global test acc  84.0206
Round 115 Fscore 

[]
Round 116 global test acc  72.9897
Round 116 Fscore 

[]
Round 117 global test acc  80.2268
Round 117 Fscore 

[]
Round 118 global test acc  83.5258
Round 118 Fscore 

[]
Round 119 global test acc  83.7526
Round 119 Fscore 

[]
Round 120 global test acc  82.4845
Round 120 Fscore 

[]
Round 121 global test acc  80.8144
Round 121 Fscore 

[]
Round 122 global test acc  81.9691
Round 122 Fscore 

[]
Round 123 global test acc  80.8660
Round 123 Fscore 

[]
Round 124 global test acc  83.1031
Round 124 Fscore 

[]
Round 125 global test acc  81.0825
Round 125 Fscore 

[]
Round 126 global test acc  81.7526
Round 126 Fscore 

[]
Round 127 global test acc  82.8351
Round 127 Fscore 

[]
Round 128 global test acc  81.4845
Round 128 Fscore 

[]
Round 129 global test acc  82.1443
Round 129 Fscore 

[]
Round 130 global test acc  82.5876
Round 130 Fscore 

[]
Round 131 global test acc  84.1443
Round 131 Fscore 

[]
Round 132 global test acc  83.4227
Round 132 Fscore 

[]
Round 133 global test acc  81.9278
Round 133 Fscore 

[]
Round 134 global test acc  83.3299
Round 134 Fscore 

[]
Round 135 global test acc  83.3402
Round 135 Fscore 

[]
Round 136 global test acc  83.1134
Round 136 Fscore 

[]
Round 137 global test acc  81.6392
Round 137 Fscore 

[]
Round 138 global test acc  82.2165
Round 138 Fscore 

[]
Round 139 global test acc  82.8144
Round 139 Fscore 

[]
Round 140 global test acc  82.8557
Round 140 Fscore 

[]
Round 141 global test acc  82.5258
Round 141 Fscore 

[]
Round 142 global test acc  82.6289
Round 142 Fscore 

[]
Round 143 global test acc  82.0722
Round 143 Fscore 

[]
Round 144 global test acc  82.2784
Round 144 Fscore 

[]
Round 145 global test acc  82.9691
Round 145 Fscore 

[]
Round 146 global test acc  83.3505
Round 146 Fscore 

[]
Round 147 global test acc  83.4227
Round 147 Fscore 

[]
Round 148 global test acc  81.8351
Round 148 Fscore 

[]
Round 149 global test acc  83.1340
Round 149 Fscore 

[]
Round 150 global test acc  82.8763
Round 150 Fscore 

[]
Round 151 global test acc  72.8660
Round 151 Fscore 

[]
Round 152 global test acc  78.6082
Round 152 Fscore 

[]
Round 153 global test acc  80.5361
Round 153 Fscore 

[]
Round 154 global test acc  82.3196
Round 154 Fscore 

[]
Round 155 global test acc  83.2371
Round 155 Fscore 

[]
Round 156 global test acc  81.4536
Round 156 Fscore 

[]
Round 157 global test acc  81.7113
Round 157 Fscore 

[]
Round 158 global test acc  81.3196
Round 158 Fscore 

[]
Round 159 global test acc  81.8969
Round 159 Fscore 

[]
Round 160 global test acc  80.9072
Round 160 Fscore 

[]
Round 161 global test acc  80.5876
Round 161 Fscore 

[]
Round 162 global test acc  80.9691
Round 162 Fscore 

[]
Round 163 global test acc  81.0206
Round 163 Fscore 

[]
Round 164 global test acc  82.9588
Round 164 Fscore 

[]
Round 165 global test acc  82.7938
Round 165 Fscore 

[]
Round 166 global test acc  81.5155
Round 166 Fscore 

[]
Round 167 global test acc  82.9485
Round 167 Fscore 

[]
Round 168 global test acc  81.0515
Round 168 Fscore 

[]
Round 169 global test acc  77.8660
Round 169 Fscore 

[]
Round 170 global test acc  81.5155
Round 170 Fscore 

[]
Round 171 global test acc  83.1649
Round 171 Fscore 

[]
Round 172 global test acc  81.8144
Round 172 Fscore 

[]
Round 173 global test acc  82.2577
Round 173 Fscore 

[]
Round 174 global test acc  82.0928
Round 174 Fscore 

[]
Round 175 global test acc  79.6598
Round 175 Fscore 

[]
Round 176 global test acc  81.8969
Round 176 Fscore 

[]
Round 177 global test acc  83.4124
Round 177 Fscore 

[]
Round 178 global test acc  82.4124
Round 178 Fscore 

[]
Round 179 global test acc  82.8660
Round 179 Fscore 

[]
Round 180 global test acc  84.0000
Round 180 Fscore 

[]
Round 181 global test acc  82.6495
Round 181 Fscore 

[]
Round 182 global test acc  81.4948
Round 182 Fscore 

[]
Round 183 global test acc  82.6598
Round 183 Fscore 

[]
Round 184 global test acc  82.5361
Round 184 Fscore 

[]
Round 185 global test acc  81.5567
Round 185 Fscore 

[]
Round 186 global test acc  80.8763
Round 186 Fscore 

[]
Round 187 global test acc  82.8041
Round 187 Fscore 

[]
Round 188 global test acc  82.7938
Round 188 Fscore 

[]
Round 189 global test acc  69.9794
Round 189 Fscore 

[]
Round 190 global test acc  80.8144
Round 190 Fscore 

[]
Round 191 global test acc  80.1856
Round 191 Fscore 

[]
Round 192 global test acc  81.5464
Round 192 Fscore 

[]
Round 193 global test acc  83.4742
Round 193 Fscore 

[]
Round 194 global test acc  82.6289
Round 194 Fscore 

[]
Round 195 global test acc  83.4845
Round 195 Fscore 

[]
Round 196 global test acc  80.2680
Round 196 Fscore 

[]
Round 197 global test acc  80.9072
Round 197 Fscore 

[]
Round 198 global test acc  82.5567
Round 198 Fscore 

[]
Round 199 global test acc  80.7216
Round 199 Fscore 

[0.8896321058273315, 0.6944444179534912, 0.949756920337677, 0.9193825125694275, 0.7462686896324158, 0.9736841917037964, 0.887445867061615, 0.9450549483299255, 0.9355742335319519, 0.9862385392189026, 0.5871559381484985, 0.9389312863349915, 0.9081632494926453, 0.9420849084854126, 0.9312977194786072, 0.9460269212722778, 0.9295774698257446, 0.8785046935081482, 0.7848101854324341, 0.9382715821266174, 0.859296441078186, 0.5566038489341736, 0.8009592294692993, 0.965986430644989, 0.9142857193946838, 0.7751196622848511, 0.6303317546844482, 0.9631490707397461, 0.9424724578857422, 0.7564102411270142, 0.9090909361839294, 0.9445506930351257, 0.9402697682380676, 0.966360867023468, 0.82828289270401, 0.6666667461395264, 0.6769230961799622, 0.8858131766319275, 0.9127516746520996, 0.6710525751113892, 0.9324452877044678, 0.944444477558136, 0.9018567800521851, 0.969072163105011, 0.9492273926734924, 0.9473684430122375, 0.9447236061096191, 0.8619909286499023, 0.953416109085083, 0.8428571820259094, 0.8477365970611572, 0.9015256762504578, 0.8785046935081482, 0.9504950046539307, 0.9213482737541199, 0.9429658055305481, 0.9207547307014465, 0.9035221934318542, 0.9580838680267334, 0.9321175217628479, 0.8399999737739563, 0.8773584961891174, 0.88559889793396, 0.6552706956863403, 0.819672167301178, 0.6241134405136108, 0.9365079402923584, 0.7399999499320984, 0.691588819026947, 0.8722466826438904, 0.8602150678634644, 0.8799999952316284, 0.9466666579246521, 0.736842155456543, 0.9441624283790588, 0.8486842513084412, 0.9618573784828186, 0.8508557677268982, 0.9173387289047241, 0.76115483045578, 0.8295820355415344, 0.8483754992485046, 0.5818182229995728, 0.9631285071372986, 0.9156626462936401, 0.7411764860153198, 0.8557919263839722, 0.7611939907073975, 0.8885448575019836, 0.9652174711227417, 0.914545476436615, 0.948616623878479, 0.9611650109291077, 0.5865103006362915, 0.9463276267051697, 0.8246753215789795, 0.859649121761322, 0.839694619178772, 0.7896679043769836, 0.8613138794898987]
time : 905.4046831130981
('algorithm', 'MR')
('gpu', 0)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.5)
('dataset', 'mnist')
('iid', False)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.1)
('lamda', 15)
('K', 1)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
('device', device(type='cuda', index=0))
Client 0, noise level: 0.8484 (0.7635), real noise ratio: 0.7716
Client 1, noise level: 0.9815 (0.8834), real noise ratio: 0.8502
Client 2, noise level: 0.6389 (0.5750), real noise ratio: 0.5519
Client 3, noise level: 0.6168 (0.5551), real noise ratio: 0.5558
Client 4, noise level: 0.9228 (0.8306), real noise ratio: 0.8176
Client 5, noise level: 0.6121 (0.5509), real noise ratio: 0.5371
Client 6, noise level: 0.8445 (0.7600), real noise ratio: 0.7531
Client 7, noise level: 0.5767 (0.5191), real noise ratio: 0.5392
Client 8, noise level: 0.6018 (0.5416), real noise ratio: 0.5165
Client 9, noise level: 0.5338 (0.4804), real noise ratio: 0.4468
Client 10, noise level: 0.8747 (0.7873), real noise ratio: 0.8093
Client 11, noise level: 0.5900 (0.5310), real noise ratio: 0.4725
Client 12, noise level: 0.5621 (0.5059), real noise ratio: 0.4827
Client 13, noise level: 0.6124 (0.5512), real noise ratio: 0.5413
Client 14, noise level: 0.6397 (0.5758), real noise ratio: 0.5663
Client 15, noise level: 0.5169 (0.4652), real noise ratio: 0.4552
Client 16, noise level: 0.6272 (0.5645), real noise ratio: 0.5666
Client 17, noise level: 0.8344 (0.7510), real noise ratio: 0.7420
Client 18, noise level: 0.8800 (0.7920), real noise ratio: 0.8003
Client 19, noise level: 0.6130 (0.5517), real noise ratio: 0.5967
Client 20, noise level: 0.8059 (0.7253), real noise ratio: 0.7104
Client 21, noise level: 0.9561 (0.8605), real noise ratio: 0.8819
Client 22, noise level: 0.7708 (0.6937), real noise ratio: 0.6937
Client 23, noise level: 0.6870 (0.6183), real noise ratio: 0.6427
Client 24, noise level: 0.5066 (0.4559), real noise ratio: 0.4672
Client 25, noise level: 0.9147 (0.8232), real noise ratio: 0.8523
Client 26, noise level: 0.9083 (0.8175), real noise ratio: 0.8120
Client 27, noise level: 0.5399 (0.4859), real noise ratio: 0.4725
Client 28, noise level: 0.5858 (0.5273), real noise ratio: 0.4699
Client 29, noise level: 0.9191 (0.8272), real noise ratio: 0.8000
Client 30, noise level: 0.7821 (0.7039), real noise ratio: 0.6751
Client 31, noise level: 0.6749 (0.6074), real noise ratio: 0.5957
Client 32, noise level: 0.5725 (0.5153), real noise ratio: 0.5000
Client 33, noise level: 0.5493 (0.4943), real noise ratio: 0.5152
Client 34, noise level: 0.7801 (0.7021), real noise ratio: 0.6939
Client 35, noise level: 0.8550 (0.7695), real noise ratio: 0.7664
Client 36, noise level: 0.9754 (0.8779), real noise ratio: 0.8682
Client 37, noise level: 0.8740 (0.7866), real noise ratio: 0.7813
Client 38, noise level: 0.6861 (0.6175), real noise ratio: 0.6327
Client 39, noise level: 0.8792 (0.7913), real noise ratio: 0.7738
Client 40, noise level: 0.5355 (0.4820), real noise ratio: 0.4871
Client 41, noise level: 0.8109 (0.7298), real noise ratio: 0.7529
Client 42, noise level: 0.8604 (0.7743), real noise ratio: 0.8056
Client 43, noise level: 0.5209 (0.4688), real noise ratio: 0.4928
Client 44, noise level: 0.6976 (0.6279), real noise ratio: 0.6660
Client 45, noise level: 0.5807 (0.5226), real noise ratio: 0.5211
Client 46, noise level: 0.6380 (0.5742), real noise ratio: 0.5496
Client 47, noise level: 0.6133 (0.5519), real noise ratio: 0.5604
Client 48, noise level: 0.6523 (0.5871), real noise ratio: 0.6182
Client 49, noise level: 0.5681 (0.5113), real noise ratio: 0.5241
Client 50, noise level: 0.8471 (0.7624), real noise ratio: 0.7963
Client 51, noise level: 0.5264 (0.4738), real noise ratio: 0.4718
Client 52, noise level: 0.7907 (0.7116), real noise ratio: 0.6982
Client 53, noise level: 0.5899 (0.5309), real noise ratio: 0.5383
Client 54, noise level: 0.7533 (0.6780), real noise ratio: 0.6647
Client 55, noise level: 0.6408 (0.5767), real noise ratio: 0.5914
Client 56, noise level: 0.6850 (0.6165), real noise ratio: 0.6128
Client 57, noise level: 0.7523 (0.6770), real noise ratio: 0.6788
Client 58, noise level: 0.5612 (0.5050), real noise ratio: 0.5090
