('algorithm', 'FedTwin')
('gpu', 1)
('seed', 13)
('save_dir', './record/')
('rounds2', 200)
('local_ep', 5)
('frac2', 0.1)
('num_users', 100)
('local_bs', 32)
('lr', 0.1)
('model', 'lenet')
('num_classes', 10)
('level_n_system', 1.0)
('level_n_lowerb', 0.5)
('alpha_dirichlet', 10)
('non_iid_prob_class', 0.7)
('dataset', 'mnist')
('iid', True)
('LID_k', 20)
('iteration1', 5)
('rounds1', 200)
('frac1', 0.01)
('pretrained', False)
('mixup', False)
('alpha', 1)
('beta', 5)
('relabel_ratio', 0.5)
('confidence_thres', 0.5)
('clean_set_thres', 0.1)
('fine_tuning', True)
('correction', True)
('T_pl', 100)
('lambda_cen', 1.0)
('lambda_e', 0.8)
('num_gradual', 10)
('forget_rate', 0.2)
('lr_decay', 0.1)
('schedule', [])
('momentum', 0.5)
('weight_decay', 0.0001)
('feature_dim', 128)
('plr', 0.05)
('lamda', 15)
('K', 5)
('gamma', 1)
('begin_sel', 10)
('max_beta', 2)
('mu', 0.01)
Round 162 global test acc  95.7800 

Rounds 163 filter noisy data:
Round 163 train loss  -32.5176
Round 163 global test acc  95.7700 

Rounds 164 filter noisy data:
Round 164 train loss  -32.2277
Round 164 global test acc  95.7300 

Rounds 165 filter noisy data:
Round 165 train loss  -32.1466
Round 165 global test acc  95.6800 

Rounds 166 filter noisy data:
Round 166 train loss  -32.1715
Round 166 global test acc  95.7800 

Rounds 167 filter noisy data:
Round 167 train loss  -32.2898
Round 167 global test acc  95.8300 

Rounds 168 filter noisy data:
Round 168 train loss  -32.4582
Round 168 global test acc  95.6400 

Rounds 169 filter noisy data:
Round 169 train loss  -32.4026
Round 169 global test acc  95.7300 

Rounds 170 filter noisy data:
Round 170 train loss  -32.3128
Round 170 global test acc  95.7200 

Rounds 171 filter noisy data:
Round 171 train loss  -32.4279
Round 171 global test acc  95.7800 

Rounds 172 filter noisy data:
Round 172 train loss  -32.3499
Round 172 global test acc  95.9000 

Rounds 173 filter noisy data:
Round 173 train loss  -32.4621
Round 173 global test acc  95.9500 

Rounds 174 filter noisy data:
Round 174 train loss  -32.5211
Round 174 global test acc  95.9400 

Rounds 175 filter noisy data:
Round 175 train loss  -32.4202
Round 175 global test acc  96.0400 

Rounds 176 filter noisy data:
Round 176 train loss  -32.1597
Round 176 global test acc  95.9700 

Rounds 177 filter noisy data:
Round 177 train loss  -32.1259
Round 177 global test acc  95.9400 

Rounds 178 filter noisy data:
Round 178 train loss  -32.4079
Round 178 global test acc  95.9900 

Rounds 179 filter noisy data:
Round 179 train loss  -32.4684
Round 179 global test acc  95.9500 

Rounds 180 filter noisy data:
Round 180 train loss  -32.3067
Round 180 global test acc  96.0100 

Rounds 181 filter noisy data:
Round 181 train loss  -32.4674
Round 181 global test acc  95.9300 

Rounds 182 filter noisy data:
Round 182 train loss  -32.0110
Round 182 global test acc  95.8900 

Rounds 183 filter noisy data:
Round 183 train loss  -32.1923
Round 183 global test acc  95.9800 

Rounds 184 filter noisy data:
Round 184 train loss  -32.2199
Round 184 global test acc  95.9800 

Rounds 185 filter noisy data:
Round 185 train loss  -32.3848
Round 185 global test acc  95.9600 

Rounds 186 filter noisy data:
Round 186 train loss  -32.1054
Round 186 global test acc  95.8400 

Rounds 187 filter noisy data:
Round 187 train loss  -32.1990
Round 187 global test acc  95.8900 

Rounds 188 filter noisy data:
Round 188 train loss  -32.2337
Round 188 global test acc  95.9100 

Rounds 189 filter noisy data:
Round 189 train loss  -32.3551
Round 189 global test acc  95.8300 

Rounds 190 filter noisy data:
Round 190 train loss  -32.2494
Round 190 global test acc  95.9300 

Rounds 191 filter noisy data:
Round 191 train loss  -32.1564
Round 191 global test acc  95.8000 

Rounds 192 filter noisy data:
Round 192 train loss  -32.3055
Round 192 global test acc  95.8200 

Rounds 193 filter noisy data:
Round 193 train loss  -32.3414
Round 193 global test acc  95.8500 

Rounds 194 filter noisy data:
Round 194 train loss  -32.3895
Round 194 global test acc  95.7800 

Rounds 195 filter noisy data:
Round 195 train loss  -32.3337
Round 195 global test acc  95.7700 

Rounds 196 filter noisy data:
Round 196 train loss  -32.2039
Round 196 global test acc  95.7900 

Rounds 197 filter noisy data:
Round 197 train loss  -32.3806
Round 197 global test acc  95.9400 

Rounds 198 filter noisy data:
Round 198 train loss  -32.4100
Round 198 global test acc  95.9400 

Rounds 199 filter noisy data:
Round 199 train loss  -32.0864
Round 199 global test acc  95.7800 

Round 199 Fscore 

